current,total,id,name,firstname,lastname,age,date,place,country,nationality,height,weight,injured,photo
37,42,2938,J. Ward-Prowse,James Michael Edward,Ward-Prowse,30,1994-11-01,Portsmouth,England,England,173 cm,66 kg,false,https://media.api-sports.io/football/players/2938.png
37,42,15911,M. Kudus,Mohammed,Kudus,24,2000-08-02,Accra,Ghana,Ghana,177 cm,70 kg,false,https://media.api-sports.io/football/players/15911.png
37,42,18813,A. Cresswell,Aaron William,Cresswell,35,1989-12-15,Liverpool,England,England,170 cm,66 kg,false,https://media.api-sports.io/football/players/18813.png
37,42,18819,M. Antonio,Michail Gregory,Antonio,34,1990-03-28,London,England,Jamaica,180 cm,82 kg,false,https://media.api-sports.io/football/players/18819.png
37,42,21694,N. Aguerd,Nayef,Aguerd,28,1996-03-30,Kénitra,Morocco,Morocco,190 cm,76 kg,false,https://media.api-sports.io/football/players/21694.png
37,42,68466,A. Irving,Andrew,Irving,24,2000-05-13,Edinburgh,Scotland,Scotland,190 cm,66 kg,false,https://media.api-sports.io/football/players/68466.png
37,42,144725,K. Simon-Swyer,Kamarai,Simon-Swyer,22,2002-12-04,,England,England,,,false,https://media.api-sports.io/football/players/144725.png
37,42,284060,L. Laing,Levi Alexander,Laing,21,2003-04-12,,England,England,,,false,https://media.api-sports.io/football/players/284060.png
37,42,284446,F. Potts,Freddie,Potts,21,2003-09-12,,England,England,,,false,https://media.api-sports.io/football/players/284446.png
37,42,288116,K. Casey,Kaelan,Casey,20,2004-10-28,,England,England,,,false,https://media.api-sports.io/football/players/288116.png
37,42,288118,L. Orford,Lewis,Orford,18,2006-02-18,,England,England,,,false,https://media.api-sports.io/football/players/288118.png
37,42,291363,G. Earthy,George,Earthy,20,2004-09-05,,England,England,,,false,https://media.api-sports.io/football/players/291363.png
37,42,327730,O. Scarles,Oliver,Scarles,19,2005-12-12,,England,England,,,false,https://media.api-sports.io/football/players/327730.png
